,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
RP11-1105G2.3,4.97932716001148,5.42769182022427,5.92377774406052,4.28575061805571
CEP83-AS1,0.538992437680534,1.98854999806229,0.992303671020045,0.825871593717655
RP11-256L6.3,10.6248752006742,12.1021156362773,12.9325438506882,8.32290781279033
RP11-256L6.2,23.0597498660288,16.0734694757454,13.6344626196687,9.37414616893545
RP11-394J1.2,29.7937645434592,22.007136485049,17.2834927120825,14.6415235400516
SLC9A7P1,0.621601296528162,1.66005514445196,0.313201317645711,0.464318928331445
TMPO-AS1,27.5887653190985,23.3566982528924,15.715776438377,11.805100898145
GOLGA2P5,6.22677199475014,0.573300051711803,3.12323770830732,1.13805763879504
RP11-511H9.3,2.24405813857215,4.36808012531029,6.46111877087195,8.51428160169146
HELLPAR,0.028109287748294,0.014773047605434,0.015174861413843,0.009165295304535
RP11-341G23.4,48.6940410197924,9.70823271952312,0.487774958948706,9.15956082232765
TTC41P,1.01400924664745,0.552657971327942,0.419114719346111,0.736396872940751
RPL18AP3,54.9612096373994,31.8671300051046,72.4237265634138,48.5277768846406
RP11-43D4.3,2.09554229085574,2.85529484845737,2.16829272206125,5.71463100593528
ST13P3,0.927081933695831,1.21267348776182,2.45238747941711,0.923339322345594
RP11-864J10.4,6.36408753317687,7.65703548500717,5.89897505050656,3.3884506053406
USP30-AS1,6.58849996172251,5.81380810824835,5.1376235958172,3.90589423705644
RP11-837J7.4,51.2122374262647,80.3230649089663,31.3448678280747,20.2529654792185
RP11-946P6.6,2.57725460637446,6.22064620063867,9.27557748412297,9.77847725990325
RP11-478C19.2,151.639636288045,141.104687278417,131.955630140608,67.3520401040779
RP3-424M6.4,16.3253651234512,17.4885693769808,13.8986511415543,8.97073652344516
MAPKAPK5-AS1,29.9730852074403,29.7330063991732,29.8876118514614,20.1400869655731
RP3-521E19.2,10.5509577727008,7.16946775720702,12.9453590553214,9.0981504465478
RP1-71H24.1,10.5590601456939,24.3852820908627,12.6244642418689,9.2093061106991
RP11-780K2.1,36.2879386362942,41.3266359645146,34.5669854241649,34.163554926787
RP11-493P1.2,17.6645192396415,27.3154097991859,24.3210825589184,40.2325297541004
LINC00173,2.04317185484248,2.39011191050392,4.77074617234238,5.79043303843847
RPS2P5,70.7113551339059,59.85074810333,71.6704561268949,95.6113141295745
RP11-64B16.2,25.8681375517661,6.79208407595037,6.42184820953523,20.0593350028841
RP11-768F21.1,22.7551482718787,13.1771998188926,18.8105140326465,13.3214256624688
PXN-AS1,8.04224100969922,4.43033444373488,3.59467600524404,3.22974783971726
RNU4-2,11.6772873350624,22.2753498815823,18.3866943745558,20.5950508423893
RNU4-1,26.2738965038904,10.3421267307347,36.7733887491116,21.8065244213534
RP11-173P15.3,16.7917331937763,16.6959869662908,5.57378348212141,3.57832162959731
LINC01089,2.98856034773196,2.85045770810423,3.01164442224089,2.89381515594759
RP11-347I19.8,5.75698431553775,3.13768664665645,1.81295378098767,3.583589677635
RP11-347I19.7,3.94729937246787,3.52824257946812,4.12695596980105,2.6209094688751
CCDC150P1,1.9512668058194,1.82311634954711,2.04826945233483,1.54237268292492
SNORA9,23.1109286900685,27.9154124572789,30.8821133057316,22.5510567422645
RP11-324E6.6,9.65052370788828,29.2506709099486,18.1724761889001,10.7067600368639
RP11-463O12.5,1.77005982100076,2.55456148792394,3.18821260643789,2.3432295738017
RP11-197N18.2,95.6341616441222,68.7649328936067,93.2856368391101,74.8886042939448
RP11-282O18.3,16.8189346023622,12.3287320274874,11.884861873485,12.8405160886557
RP13-942N8.1,1.55779484317367,2.34732768835463,2.88571227383389,4.79141576221634
RP11-486O12.2,34.7163573294097,35.8913415134675,39.8319894850264,29.277741539504
RP11-83B20.3,0.953873287286823,0.917439729699849,0.353397479118371,1.76964979173651
THRIL,13.3772717868189,12.3690242188756,4.19629565088497,5.27055349148712
RP11-21K12.2,0.789056316730254,0.716755895322481,1.905049516188,6.11232931597467
RP11-495K9.5,12.8246334161257,16.3374067101245,7.78535707751463,14.1065729802799
RP13-820C6.2,13.0971393178484,6.34509966323861,2.09496881358575,3.45086413401889
RP13-977J11.2,1.80293696809041,1.88969504073397,1.04819025881902,1.84170107422032
RP13-554M15.7,13.8053684679721,13.3468815843138,29.8948300702588,44.7389525884091
RP13-554M15.2,4.40483652334595,3.6424952732034,0.765320710498117,3.78194334982882
RPS11P5,6.16586104249356,9.2704378196668,10.4450859881903,9.52909073371124
RP11-46H11.11,1.1738337791662,1.91929786798805,0.739312901182235,1.29899448390825
PSPC1P1,2.16644409768921,1.51812132114543,1.55941287627812,7.19232735300778
ZDHHC20-IT1,14.5004042447607,12.2369779219602,19.7385342905033,17.0817774633935
LINC00540,1.21021500495685,2.76205216479378,3.00126802883461,4.33165249898622
RP11-380N8.7,27.9443274238575,31.6693340257626,25.7017456278813,23.5610723633014
SNORD102,87.1843301813121,105.940503305859,41.4083679560309,123.368392791175
PAN3-AS1,3.80851571577488,4.31751256560648,4.79741655590742,2.78163659655556
EEF1DP3,0.59287461932647,0.246194343194443,0.284501937647448,0.281181522031169
SNORA16,4.37052911599463,6.49646511300974,6.00584688836843,12.5310336604045
RP11-298P3.4,43.7754983744465,42.2848451753597,55.9903723329897,74.2297135843801
N4BP2L2-IT2,4.35614756452538,5.5742062006475,7.28981671138448,3.98225486876658
RP11-142E9.1,1.1542530028672,0.29035107235022,0.391450978164077,0.147383757233766
SPG20-AS1,5.50765013567467,5.0556528503873,2.73858159170321,4.09000305461534
RGS17P1,9.6765224616498,38.3373675403182,17.1115954066278,12.3557160675541
RP11-290D2.6,6778.32644814801,7540.72547660382,9701.90345364844,8620.19698420536
TPT1-AS1,1.18714971705715,1.77931446904103,1.55770759638313,1.49436814955663
RCN1P2,1.68698515803668,1.59370477490009,1.70001567659828,2.61360529494545
SLC25A30-AS1,13.6523064216007,11.521263093429,7.95139286682824,5.1172229205601
MED4-AS1,16.8978642490427,16.7637566550838,17.4588787082383,13.5519636702199
LINC00441,0.270094736588549,1.47207739656126,2.60840113108856,1.494468719457
PSME2P2,2.94017413257821,1.92295367345088,8.88865339478527,6.8327109853574
RP11-156K23.3,7.4772820810345,8.45622225457889,3.41431395538414,6.36106154404299
DLEU2,4.59526538988881,3.75136429304243,5.03670312458232,7.06649985920396
RP11-34F20.7,0.233170909305674,0.593055954173548,1.56647970200143,1.16114801488324
ST13P4,2.54205357299763,1.84730224805437,4.38807797584893,3.43823517103986
RNASEH2B-AS1,0.731559914504056,1.01491523049433,0.223397148368149,0.588773027605118
INTS6-AS1,0.500658072443887,0.591218272464458,0.118248100351264,0.173137821441248
