Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
UCHL3,358,186,169,117,144
LMO7,306,110,793,240,209
KCTD12,3678,4171,1174,754,1701
CLN5,181,110,147,238,203
RP11-226E21.4,458,279,438,377,334
FBXL3,610,506,710,987,594
MYCBP2,3165,1729,2598,2143,1845
SLAIN1,58,23,87,39,65
EDNRB,2,0,0,6,12
POU4F1,28,0,37,37,14
RNF219,318,233,257,204,216
RBM26,3670,2346,2711,3072,2309
NDFIP2,0,0,4,12,6
SPRY2,453,394,344,97,239
SLITRK1,0,0,0,0,0
SLITRK6,0,0,0,0,0
SLITRK5,0,0,2,0,26
GPC5,0,0,22,267,46
GPC6,0,0,2,2,0
DCT,2,0,0,0,2
TGDS,197,64,98,68,69
GPR180,46,54,52,24,32
ABCC4,125,132,242,2020,503
DZIP1,2,2,6,10,10
DNAJC3,1017,897,966,663,649
UGGT2,164,122,143,86,98
OXGR1,0,4,0,0,4
MBNL2,127,196,157,249,120
RAP2A,274,209,210,498,254
IPO5,1811,1451,1431,1053,1487
FARP1,200,295,327,261,370
STK24,3215,3820,2600,2837,2503
DOCK9,16,1,151,32,70
UBAC2,463,473,420,414,322
GPR18,90,58,62,9,12
GPR183,27541,23166,17705,28245,17610
TM9SF2,1038,1095,673,556,639
CLYBL,49,25,29,12,39
ZIC2,0,0,0,8,0
PCCA,231,200,218,62,119
GGACT,20,22,9,6,11
TMTC4,176,99,199,61,95
NALCN,8,0,2,6,0
ITGBL1,8,8,4,4,10
FGF14,0,2,0,2,2
TPP2,1094,750,901,565,585
CCDC168,18,6,126,20,22
TEX30,69,47,135,61,61
KDELC1,36,17,113,20,76
BIVM,214,87,282,22,132
BIVM-ERCC5,3380,2441,2715,1957,1955
ERCC5,4391,3315,3616,2800,2720
EFNB2,32,56,52,146,273
ARGLU1,28295,23164,20455,24031,20448
FAM155A,0,0,0,0,0
LIG4,370,251,280,335,237
ABHD13,406,359,312,334,273
TNFSF13B,220,491,256,513,200
RP11-153I24.5,0,2,1,2,3
MYO16,0,0,2,0,0
IRS2,579,805,524,678,558
COL4A1,22,22,64,92,326
COL4A2,42,38,44,208,337
RAB20,187,501,181,197,270
NAXD,269,242,219,161,212
CARS2,729,566,619,359,490
ING1,1041,1018,802,778,896
ANKRD10,1372,1177,1486,3409,1717
ARHGEF7,1415,1224,2441,2069,1855
TEX29,1,4,4,1,6
SOX1,0,0,0,0,0
TUBGCP3,947,818,551,507,529
ATP11A,2130,1704,751,779,865
MCF2L,0,0,100,16,63
F7,4,0,2,0,0
PROZ,2,0,1,2,2
PCID2,270,198,234,121,178
CUL4A,2553,2129,2074,1748,1603
LAMP1,195,75,445,242,195
GRTP1,0,2,4,4,12
ADPRHL1,4,6,14,15,13
DCUN1D2,187,100,140,140,108
TMCO3,485,362,432,518,382
TFDP1,768,715,438,273,397
GRK1,0,1,0,0,0
TMEM255B,113,74,79,39,59
GAS6,1519,1150,958,736,816
ABC13-47488600E17.1,36,10,39,6,58
RASA3,424,332,605,275,326
RP11-569D9.5,0,0,0,0,0
CDC16,633,522,650,409,583
UPF3A,5372,5008,5162,3347,4753
CHAMP1,207,102,146,110,127
POTEM,0,0,2,0,2
AL589743.1,0,0,4,2,4
POTEG,0,0,1,2,1
OR11H2,0,0,0,0,0
OR4N2,0,0,0,0,1
OR4Q3,0,0,0,0,0
OR4K2,0,0,0,4,0
OR4K14,0,0,0,0,0
OR11H6,0,0,0,2,0
OR11H7,4,0,0,2,0
OR11H4,0,0,2,0,0
TTC5,186,169,189,363,145
CCNB1IP1,413,269,224,40,151
PARP2,492,310,395,176,345
