,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
ORC1,34,6,20,5,4,8,0,62
PRPF38A,944,1337,1118,719,708,598,461,2351
GPX7,18,9,10,2,38,47,15,189
COA7,110,95,109,58,35,47,34,184
ZYG11B,120,100,163,68,54,61,32,168
ZYG11A,0,0,1,0,0,0,0,0
ECHDC2,350,480,665,298,336,214,154,909
SCP2,731,841,861,555,314,281,166,986
PODN,2,1,0,0,0,0,0,10
SLC1A7,3,0,0,0,0,0,0,0
CPT2,62,56,75,27,193,92,37,275
MAGOH,449,564,434,370,345,310,307,1174
LRP8,167,233,186,145,453,954,390,2048
GLIS1,0,2,0,0,2,0,0,2
NDC1,42,47,48,32,24,18,20,50
YIPF1,147,101,144,59,25,33,10,109
DIO1,0,5,2,0,5,0,0,16
HSPB11,313,324,328,231,201,229,152,627
LRRC42,35,86,106,73,80,108,45,204
TMEM59,739,1133,916,604,600,424,343,1761
TCEANC2,293,265,323,182,138,154,71,476
CDCP2,0,0,0,0,0,0,14,0
CYB5RL,53,26,53,42,17,25,6,85
MRPL37,143,130,138,113,143,98,71,266
SSBP3,172,179,221,227,342,168,139,512
ACOT11,34,21,40,16,9,9,0,25
FAM151A,4,2,3,0,0,2,0,3
MROH7,50,16,57,31,0,19,0,41
MROH7-TTC4,233,150,147,127,49,110,90,332
TTC4,182,161,140,112,70,103,92,326
PARS2,0,2,3,0,4,2,0,0
TTC22,5,3,0,3,5,0,0,11
LEXM,0,0,0,0,0,2,0,5
DHCR24,117,27,123,104,415,507,79,760
TMEM61,0,0,0,0,2,0,0,0
BSND,0,0,0,0,0,0,0,0
PCSK9,0,0,0,2,0,0,0,2
USP24,1149,1700,2244,1635,2411,2841,1221,5667
PLPP3,10,5,6,38,21,28,8,1
PRKAA2,3,0,2,0,0,0,2,5
C8A,0,0,0,0,0,0,0,0
C8B,2,0,0,0,0,0,0,0
DAB1,78,43,82,57,35,49,22,125
OMA1,122,108,178,114,99,84,45,235
TACSTD2,34,6,13,54,13,5,0,17
MYSM1,868,951,1267,623,600,695,373,2383
JUN,65002,78150,77145,47682,53173,43695,34060,158687
FGGY,40,41,44,33,45,31,23,60
HOOK1,14,3,11,14,17,43,11,67
CYP2J2,0,0,0,0,6,0,3,12
NFIA,15,15,8,2,17,8,10,43
TM2D1,72,176,166,102,124,158,86,309
PATJ,13,27,13,32,95,67,57,304
L1TD1,6,0,4,6,0,0,1,8
KANK4,3,0,0,0,0,2,0,2
USP1,619,569,934,533,492,605,224,1562
DOCK7,279,267,391,294,299,225,159,684
ANGPTL3,3,0,1,0,0,0,0,5
ATG4C,242,214,327,125,69,96,49,383
FOXD3,2,0,0,6,8,0,0,0
ALG6,18,18,34,9,9,20,4,65
ITGB3BP,99,115,125,92,80,69,39,206
EFCAB7,17,10,16,9,11,13,9,50
PGM1,286,315,317,221,179,161,139,573
ROR1,11,8,16,11,103,66,18,159
CACHD1,14,4,6,31,28,21,10,7
RAVER2,152,96,211,120,173,107,48,493
JAK1,3271,2500,4121,2747,9478,8450,3912,18367
AK4,11,7,20,0,22,13,8,92
DNAJC6,3,0,3,0,0,7,4,13
LEPROT,134,185,157,93,130,92,62,307
LEPR,23,39,53,57,44,28,14,70
PDE4B,5193,4828,5074,5361,3286,3199,3191,8063
SGIP1,2,0,0,0,1,0,0,3
INSL5,2,0,0,0,0,0,0,0
MIER1,1177,1364,1643,1057,1469,1472,744,4217
SLC35D1,78,60,103,87,99,79,42,287
C1orf141,0,0,0,0,0,0,0,0
IL23R,0,1,0,0,56,10,30,101
IL12RB2,6,5,3,0,18,9,7,106
SERBP1,7487,9507,7365,6297,6097,5153,5781,16818
GADD45A,2711,1372,2454,2522,8498,11033,4885,10800
GNG12,26,12,14,11,38,40,8,81
DIRAS3,0,0,2,0,0,4,14,0
WLS,18,12,4,0,100,86,21,386
DEPDC1,0,3,0,0,0,2,0,6
LRRC7,4,9,17,8,10,0,0,26
LRRC40,93,67,116,82,94,87,50,204
SRSF11,12123,14116,16622,11121,15416,13835,8621,37975
ANKRD13C,286,284,363,208,192,214,109,690
HHLA3,5,23,13,2,17,4,7,40
CTH,21,1,8,10,3,0,4,29
PTGER3,10,10,9,0,0,0,2,17
ZRANB2,1624,2297,1924,1517,1408,1869,1322,5920
NEGR1,91,101,82,26,25,10,19,101
LRRIQ3,0,0,12,0,0,10,2,2
FPGT,16,21,32,19,9,14,9,53
FPGT-TNNI3K,19,15,37,26,24,22,6,43
TNNI3K,6,3,11,12,10,3,0,9
ERICH3,0,51,2,16,4,0,3,11
CRYZ,51,93,59,49,57,37,40,143
TYW3,297,322,383,219,131,151,93,505
SLC44A5,0,0,0,0,0,7,0,10
ACADM,624,696,749,517,522,438,269,1474
RABGGTB,1227,1542,1658,1030,1347,1386,931,3715
MSH4,0,0,0,0,16,2,4,0
ST6GALNAC3,14,28,7,14,7,5,9,6
PIGK,72,83,138,69,38,55,13,201
AK5,0,8,7,2,0,4,3,8
ZZZ3,390,471,579,323,391,421,186,1072
USP33,848,894,972,584,610,642,382,1759
NEXN,84,115,68,86,78,61,66,181
FUBP1,2405,3014,2958,2280,2284,2661,1566,6963
DNAJB4,951,728,896,531,794,1183,410,2890
GIPC2,0,1,8,0,65,45,2,77
PTGFR,2,0,6,0,6,0,0,2
IFI44L,276,289,274,255,180,251,114,557
IFI44,278,476,280,222,132,122,82,558
ADGRL4,0,3,5,0,71,35,2,65
ADGRL2,1,7,3,0,22,9,1,39
TTLL7,3,1,6,7,6,7,0,8
PRKACB,250,190,382,107,117,133,51,503
SAMD13,0,0,10,0,0,19,0,0
RPF1,373,691,496,394,410,285,251,1321
GNG5,226,302,268,282,272,244,224,581
CTBS,166,132,167,121,91,89,37,196
SSX2IP,176,179,230,78,61,165,65,536
LPAR3,39,30,30,8,18,0,8,46
MCOLN2,394,656,602,623,1268,908,810,2037
MCOLN3,2,1,0,0,13,14,11,47
SYDE2,10,0,0,0,0,5,7,36
C1orf52,387,415,338,195,144,231,171,740
BCL10,280,279,280,207,135,132,84,481
DDAH1,3,3,2,0,8,8,2,23
ZNHIT6,523,728,564,405,315,317,248,1392
COL24A1,0,9,12,1,204,339,26,1131
ODF2L,237,281,268,164,391,330,127,1503
CLCA2,0,0,0,0,0,0,0,0
SH3GLB1,529,546,642,558,491,496,353,1227
HS2ST1,68,79,82,87,42,41,23,138
LMO4,166,230,208,180,145,109,68,358
PKN2,601,484,880,626,630,848,385,1905
GTF2B,933,1488,1307,949,786,572,445,2107
KYAT3,247,209,353,146,324,312,137,898
RBMXL1,196,161,221,184,239,352,220,673
GBP3,770,481,706,617,1023,1031,601,1553
GBP1,1828,1305,2012,1574,4395,3750,2754,5320
GBP2,5240,4021,4947,4665,5396,4650,4204,9419
GBP7,16,13,14,9,29,22,15,63
GBP4,1561,1095,1578,1202,2198,2156,1562,4634
GBP5,1452,949,1180,611,729,903,1022,4245
GBP6,0,0,0,3,3,0,3,1
LRRC8B,68,70,97,74,61,59,29,176
LRRC8C,402,326,564,285,265,193,90,727
LRRC8D,174,345,357,242,445,236,224,666
ZNF326,1879,2472,2255,1777,2384,2082,1812,6021
BARHL2,0,0,0,0,0,0,0,0
ZNF644,464,527,665,381,597,484,251,1862
HFM1,0,0,0,0,1,10,0,0
CDC7,46,55,49,43,47,31,10,60
TGFBR3,12,5,44,40,206,270,22,311
BRDT,0,0,0,0,0,0,0,0
EPHX4,0,0,0,0,0,0,0,0
SETSIP,5,11,1,4,5,1,4,5
BTBD8,36,17,23,5,8,21,8,63
C1orf146,0,0,0,0,0,0,0,0
GLMN,60,74,79,59,22,41,10,127
RPAP2,163,240,345,189,232,156,89,619
GFI1,10,16,13,0,41,69,25,183
EVI5,325,230,292,217,123,176,99,382
RPL5,37322,52329,41005,36061,30076,22255,24745,78555
MTF2,541,758,853,415,442,403,237,1464
TMED5,1071,1240,1431,1016,700,731,478,2019
CCDC18,602,726,913,571,430,401,225,1317
DR1,371,367,434,249,232,209,124,748
FNBP1L,194,227,204,175,163,193,144,576
BCAR3,162,81,117,117,108,257,97,550
DNTTIP2,5798,4507,6203,4522,2425,2940,2137,9409
GCLM,27,22,27,19,26,26,10,51
ABCA4,2,0,0,0,0,0,0,1
ARHGAP29,16,9,13,9,109,93,10,164
ABCD3,69,76,95,51,57,61,20,218
F3,26,42,19,18,49,61,100,143
SLC44A3,0,0,0,2,0,4,4,8
CNN3,22,31,25,21,249,154,46,375
ALG14,26,17,18,17,0,8,6,22
RWDD3,27,50,49,42,49,49,38,135
PTBP2,67,87,95,55,79,86,42,246
DPYD,501,435,904,375,218,217,101,529
SNX7,36,8,13,25,15,18,12,25
PLPPR4,0,0,0,0,2,0,0,0
PALMD,0,0,2,12,7,6,0,0
FRRS1,0,22,10,8,0,7,5,31
AGL,78,72,101,67,110,107,60,298
SLC35A3,123,185,200,133,73,118,58,339
MFSD14A,345,346,429,313,377,358,234,936
SASS6,36,24,43,13,0,20,8,74
TRMT13,284,283,333,195,138,131,106,427
LRRC39,36,51,63,27,39,21,14,99
DBT,62,94,117,77,50,64,31,199
RTCA,321,516,462,378,444,422,276,988
CDC14A,213,301,310,197,381,324,182,999
GPR88,3,0,3,0,5,0,5,16
VCAM1,213,141,174,217,550,435,500,1066
EXTL2,23,13,16,9,11,8,2,31
SLC30A7,83,131,136,65,131,120,80,224
DPH5,314,343,353,222,240,107,130,552
S1PR1,64,16,18,42,417,440,87,1049
COL11A1,52,52,2,0,22,4,0,0
RNPC3,284,355,497,288,289,304,125,652
AMY2B,381,406,528,340,238,269,140,611
AMY2A,0,0,4,3,0,0,0,0
AMY1A,2,0,0,5,1,0,0,3
AMY1C,10,2,0,0,2,0,0,0
PRMT6,34,55,32,4,8,10,12,63
NTNG1,0,6,0,0,0,0,1,0
VAV3,866,1027,1378,654,493,226,193,1798
SLC25A24,274,398,392,459,405,390,238,745
NBPF4,0,2,16,0,0,2,2,18
NBPF6,0,7,7,2,0,4,2,7
FAM102B,687,566,760,421,195,93,122,725
HENMT1,155,140,158,93,80,70,51,218
PRPF38B,8964,12731,13436,7348,6021,7740,3960,22376
FNDC7,0,0,0,0,0,0,0,0
STXBP3,470,435,548,373,405,456,270,1152
AKNAD1,0,0,0,0,0,0,1,6
GPSM2,137,118,177,121,140,168,93,365
CLCC1,381,349,469,297,585,582,273,1068
WDR47,320,339,427,219,369,464,210,1331
TAF13,237,204,236,202,114,155,112,332
TMEM167B,207,351,285,185,206,180,83,594
C1orf194,0,2,0,0,0,0,0,0
CELSR2,1,32,27,3,0,4,3,71
PSRC1,51,9,26,2,3,14,7,21
MYBPHL,0,0,0,0,0,0,0,2
SORT1,290,329,534,222,111,89,70,327
PSMA5,558,800,543,500,542,428,512,1502
SYPL2,0,0,0,0,0,0,2,0
ATXN7L2,59,47,40,31,46,77,47,282
CYB561D1,17,53,29,25,52,56,31,139
AMIGO1,0,4,2,0,23,15,1,47
GPR61,0,1,0,0,0,0,0,10
GNAI3,1606,1983,2057,1433,1084,1080,766,3066
GNAT2,31,37,50,24,14,12,5,57
AMPD2,3110,3204,3961,2409,1121,727,611,2772
GSTM4,176,199,144,131,82,91,73,306
GSTM2,264,282,264,100,96,92,80,434
GSTM1,108,105,92,84,51,41,48,93
GSTM5,2,0,0,0,0,14,10,0
GSTM3,160,134,79,114,57,64,91,330
EPS8L3,4,3,0,0,0,2,0,7
CSF1,573,287,348,197,149,118,285,1157
AHCYL1,788,813,641,608,531,442,672,1538
STRIP1,342,494,473,231,351,320,240,1413
ALX3,8,7,13,0,6,13,2,56
UBL4B,0,0,0,0,0,0,0,0
SLC6A17,0,0,0,0,0,0,0,0
KCNC4,23,4,17,0,19,32,4,185
RBM15,336,368,445,269,186,242,112,747
SLC16A4,0,5,4,3,1,0,2,5
LAMTOR5,155,212,184,109,128,118,99,437
KCNA2,1,0,0,0,0,0,0,2
KCNA3,30,25,34,11,19,35,2,140
CD53,2124,3800,3191,1663,1343,599,792,4104
LRIF1,174,221,272,255,273,248,141,561
DRAM2,360,447,491,307,234,180,148,725
CEPT1,427,656,823,420,484,309,206,1265
DENND2D,190,235,149,88,170,68,77,554
CHI3L2,26,10,15,4,6,34,15,41
CHIA,0,0,0,0,6,0,0,0
PIFO,2,0,0,0,2,0,0,4
OVGP1,8,31,42,31,4,12,11,38
WDR77,106,114,84,28,20,28,19,177
C1orf162,2948,3787,3007,1421,277,117,214,1501
TMIGD3,71,70,47,30,0,0,6,10
ADORA3,22,16,25,6,0,0,0,3
RAP1A,1830,2809,2225,1398,1119,805,789,3860
DDX20,196,255,264,116,81,102,55,493
KCND3,15,1,6,0,0,3,5,12
CTTNBP2NL,1085,886,1102,634,1357,1206,815,3681
WNT2B,283,293,303,170,259,281,218,648
ST7L,144,245,230,115,133,127,72,423
CAPZA1,1016,1202,1263,661,688,748,511,2633
MOV10,335,218,303,308,618,656,424,1012
RHOC,1245,1350,944,1298,2165,1712,1271,3738
PPM1J,7,34,11,24,17,10,11,54
SLC16A1,191,75,179,119,125,161,78,542
LRIG2,126,151,161,95,82,82,58,259
MAGI3,21,42,39,32,148,86,47,219
PHTF1,203,366,378,301,306,230,170,783
RSBN1,240,271,327,188,200,254,152,868
PTPN22,292,284,389,171,116,78,49,675
BCL2L15,2,3,0,0,3,3,4,8
AP4B1,281,360,365,187,204,182,89,660
DCLRE1B,340,188,364,302,184,249,122,475
HIPK1,2056,2227,3262,1891,2729,2685,1359,6983
OLFML3,11,13,5,0,8,8,9,5
SYT6,0,0,0,0,0,0,0,1
TRIM33,777,801,1042,592,800,815,511,2856
BCAS2,655,596,592,385,253,265,244,1133
DENND2C,4,10,2,11,10,0,1,5
AMPD1,0,0,0,0,0,2,0,0
NRAS,321,461,376,312,375,445,287,1223
CSDE1,6747,7935,9024,6138,7382,6866,4627,19178
SIKE1,355,345,364,237,211,258,155,722
SYCP1,0,0,0,0,0,1,0,0
TSHB,0,2,0,0,0,8,0,0
TSPAN2,18,14,5,0,12,18,11,65
NGF,0,0,0,0,1,0,0,0
VANGL1,32,25,27,19,108,47,29,89
CASQ2,0,8,0,0,0,8,0,0
NHLH2,4,0,2,0,2,0,0,0
SLC22A15,33,34,23,22,17,14,27,59
MAB21L3,0,0,0,0,0,0,0,0
ATP1A1,4918,5274,6150,5004,5280,4098,2502,11372
CD58,395,406,340,350,871,435,666,1926
IGSF3,40,0,20,12,151,269,187,1211
CD2,68,50,50,16,62,35,8,435
PTGFRN,101,79,144,70,37,21,20,86
CD101,455,394,535,178,55,18,34,222
TTF2,293,396,478,345,816,809,434,1898
TRIM45,31,13,21,22,16,9,9,27
MAN1A2,508,552,724,348,356,353,189,1471
GDAP2,291,340,458,240,137,132,76,439
WDR3,209,180,284,109,156,135,40,503
SPAG17,10,4,23,4,10,9,1,38
TBX15,0,5,0,0,2,0,7,1
WARS2,96,105,91,50,57,41,39,242
HAO2,0,0,0,0,0,0,0,4
HSD3B1,0,0,0,0,0,0,0,0
ZNF697,44,23,57,19,36,33,13,111
PHGDH,68,44,63,44,39,105,71,181
HMGCS2,0,0,0,0,0,0,0,0
REG4,2,0,0,0,2,0,0,0
ADAM30,0,0,0,0,0,0,0,0
NOTCH2,2003,1878,2767,1658,2218,2291,1217,6735
SEC22B,224,286,279,170,191,234,105,686
NBPF26,4014,4128,5087,3140,4633,5103,2577,15213
PPIAL4A,0,0,0,0,0,4,0,0
FCGR1B,19,38,26,19,7,0,6,8
FAM72B,63,81,131,54,79,96,40,278
SRGAP2C,1241,1228,1785,1188,1272,1429,679,3315
FAM72C,26,22,44,26,29,26,5,87
NBPF15,402,359,372,368,464,458,280,1488
SRGAP2B,1802,1935,2885,2028,1602,1890,755,3261
FAM72D,57,58,97,101,22,40,21,125
NBPF20,96,73,84,116,92,149,67,276
GPR89A,102,125,169,62,45,101,37,278
PDZK1,0,8,4,4,16,26,8,25
CD160,1,5,8,1,16,27,7,103
RNF115,650,804,825,623,1822,1856,1379,4109
POLR3C,290,432,392,271,333,279,226,773
NUDT17,18,33,39,8,21,34,7,105
PIAS3,89,83,82,58,110,175,117,428
ANKRD35,0,6,0,4,2,0,3,10
ITGA10,64,55,52,29,41,31,32,143
PEX11B,21,28,35,17,10,41,16,80
RBM8A,2274,3565,2385,2102,2054,2063,1969,6372
LIX1L,84,75,72,62,71,68,51,198
ANKRD34A,10,29,21,12,20,7,3,27
POLR3GL,1105,1278,1019,884,619,443,309,1389
TXNIP,6191,5237,7906,2733,1991,1646,939,6785
NBPF10,1885,2071,2646,1440,1797,2301,1068,7397
NBPF12,1279,1555,2103,1261,1440,1667,798,4894
PRKAB2,133,102,189,83,86,149,68,394
FMO5,80,137,202,108,76,82,18,178
CHD1L,1539,2179,2381,1382,1008,874,520,3449
BCL9,62,86,49,50,53,57,60,301
ACP6,18,37,28,14,0,25,19,100
GJA5,2,0,0,0,0,2,0,2
GPR89B,42,57,63,43,88,59,27,154
NBPF11,630,688,963,521,660,643,321,1826
NBPF14,5037,5298,6836,4179,4619,5514,2840,17423
PDE4DIP,1717,1154,2198,1261,2937,2385,1063,7417
NBPF9,655,609,857,397,479,450,213,1817
NBPF19,1104,1223,1517,875,1414,1445,877,4289
FCGR1A,33,52,23,17,9,0,20,21
BOLA1,17,31,37,10,12,16,9,66
SV2A,0,2,0,6,3,7,0,16
SF3B4,307,414,375,199,223,220,156,724
MTMR11,24,37,19,16,9,0,6,29
OTUD7B,50,43,20,14,80,48,17,181
VPS45,181,253,348,178,139,148,60,376
PLEKHO1,5154,5492,5996,4471,4484,4438,2357,10302
ANP32E,1695,1872,1550,1252,1800,1610,1471,6319
CA14,4,14,18,12,13,8,6,14
APH1A,470,656,503,466,389,312,263,995
C1orf54,272,209,210,383,194,161,125,394
CIART,21,10,26,0,21,10,6,108
MRPS21,229,338,204,324,230,189,184,412
PRPF3,1068,1320,1223,1008,971,1166,760,2744
RPRD2,348,490,517,338,288,285,121,1032
TARS2,188,234,189,170,123,135,90,464
ECM1,9,1,0,3,3,5,4,15
ADAMTSL4,725,803,1173,795,455,614,352,1370
MCL1,28437,40897,40846,28503,21820,22980,16411,64900
ENSA,2515,3880,2648,2744,2749,2514,2341,7439
GOLPH3L,71,115,110,65,69,114,53,253
HORMAD1,10,1,6,7,0,0,0,6
CTSS,4323,4828,4510,2978,1544,1286,1408,4221
CTSK,17,42,31,34,50,17,29,92
ARNT,533,552,638,454,451,372,240,1181
SETDB1,524,871,849,489,527,436,320,1750
CERS2,575,691,719,430,326,336,265,1288
ANXA9,36,32,39,34,1,15,6,23
PRUNE1,46,53,56,27,27,29,12,129
BNIPL,5,19,15,4,13,10,13,44
C1orf56,194,220,246,194,283,290,223,504
CDC42SE1,3253,4252,4171,3144,4695,4219,3424,11247
MLLT11,786,959,952,779,1050,1017,962,2712
GABPB2,309,363,400,271,346,333,172,996
SEMA6C,6,6,8,7,16,14,5,28
TNFAIP8L2,456,403,351,234,62,47,70,290
SCNM1,982,1227,950,715,488,409,335,1503
LYSMD1,44,69,58,46,9,48,22,137
TMOD4,21,22,12,13,43,18,24,31
VPS72,628,639,564,484,625,471,438,1688
PIP5K1A,526,856,827,537,526,672,390,1848
PSMD4,2066,2357,1761,1732,2492,1972,1929,5776
ZNF687,201,312,206,212,243,227,226,678
PI4KB,1023,1324,1387,1028,1126,1126,734,3003
RFX5,1953,2725,2629,2009,2671,2707,1924,6580
SELENBP1,3,3,3,0,19,16,7,68
PSMB4,266,452,328,307,362,358,295,869
POGZ,831,873,1009,663,643,875,494,2406
CGN,52,19,18,22,254,663,596,864
TUFT1,202,127,136,112,104,80,65,497
SNX27,434,342,449,256,278,205,151,674
CELF3,0,0,0,6,0,0,0,0
MRPL9,392,467,313,325,254,218,270,847
OAZ3,197,209,154,161,148,104,114,320
TDRKH,120,64,81,76,186,176,93,424
LINGO4,0,0,0,0,0,0,0,11
RORC,0,6,0,0,122,20,33,158
C2CD4D,15,7,4,0,7,23,5,101
THEM5,1,1,2,2,7,18,6,48
THEM4,98,57,89,69,52,68,25,194
S100A10,2496,2804,1673,2056,1783,1006,1496,5121
S100A11,1467,1609,1211,1228,1270,1004,990,2779
TCHHL1,0,0,2,0,0,0,0,0
TCHH,304,196,258,241,555,431,327,527
RPTN,8,0,0,5,0,3,0,1
HRNR,7,5,0,5,0,5,0,10
FLG,4,0,0,0,0,0,0,0
FLG2,0,0,0,0,0,0,0,0
CRNN,0,0,0,0,0,0,0,0
LCE3A,0,0,0,0,0,0,0,0
KPRP,0,0,0,0,0,0,0,0
LCE6A,0,0,0,0,0,0,0,0
IVL,0,0,0,0,0,0,0,3
SPRR1A,2,0,0,0,0,0,0,0
SPRR3,0,0,0,0,0,0,0,0
SPRR1B,0,0,0,0,0,0,0,0
SPRR2D,0,0,0,0,0,0,0,0
SPRR2A,0,0,0,0,0,0,0,0
SPRR2B,0,0,0,0,0,0,0,0
SPRR2F,0,0,0,0,0,0,0,0
SPRR2G,0,0,0,0,0,0,0,0
S100A9,954,532,156,404,192,448,1106,460
S100A12,19,0,1,5,0,19,35,7
S100A8,12,5,1,3,21,25,57,15
S100A7A,0,0,0,0,0,0,0,0
S100A7,0,0,0,0,0,0,0,0
S100A6,1708,2537,1364,1633,695,515,685,1854
S100A5,0,1,3,0,0,0,0,3
S100A4,353,558,270,190,70,25,71,265
S100A3,0,0,0,5,0,0,0,8
S100A2,3,0,0,3,1,1,3,10
S100A16,11,11,11,29,61,47,13,61
S100A14,8,0,0,0,12,0,10,10
S100A13,100,80,82,126,199,127,71,253
S100A1,20,23,40,17,28,11,4,48
CHTOP,607,847,708,421,524,531,390,1664
SNAPIN,76,102,96,72,35,48,40,136
ILF2,1873,2742,2015,1512,1261,1545,1206,4475
NPR1,5,4,8,12,251,108,55,240
INTS3,1331,1591,2174,1709,2732,2035,1179,3628
SLC27A3,258,274,427,314,425,319,127,510
GATAD2B,522,822,898,494,594,739,449,2152
DENND4B,760,1180,1416,729,438,457,213,1565
CRTC2,655,867,795,469,601,627,478,2093
SLC39A1,384,688,483,521,498,367,380,1117
CREB3L4,32,40,43,20,6,15,4,72
JTB,305,492,345,215,189,161,143,669
RAB13,512,672,397,842,1317,1285,508,1671
RPS27,11517,17756,10501,10925,11221,8100,10501,28307
NUP210L,13,7,9,17,15,9,8,24
TPM3,41505,51235,40519,39650,44326,35516,31735,101153
C1orf189,5,0,0,0,0,0,0,0
C1orf43,554,682,684,342,476,445,264,1217
UBAP2L,3291,4706,4434,3444,3983,4235,3130,12002
HAX1,626,737,624,606,864,732,662,1921
AQP10,2,0,0,0,0,0,0,0
ATP8B2,49,47,38,5,90,166,72,1178
IL6R,1639,1243,1632,1261,2325,2674,1940,5359
SHE,8,9,26,18,65,34,17,164
TDRD10,0,2,5,0,12,0,1,0
UBE2Q1,1396,1464,1249,1033,989,949,777,3136
CHRNB2,3,3,3,1,0,0,0,7
ADAR,1988,2518,2926,1901,2544,2299,1535,6521
KCNN3,3,3,0,0,5,3,0,10
PMVK,329,307,216,236,201,162,163,533
PBXIP1,957,1423,1288,1137,4610,3602,1981,7974
PYGO2,138,161,152,89,139,109,91,451
SHC1,504,671,551,372,421,328,296,1196
CKS1B,66,47,12,20,22,5,28,73
FLAD1,306,347,292,209,169,174,141,494
LENEP,0,0,0,0,0,0,0,0
ZBTB7B,605,701,758,506,534,278,245,962
DCST2,0,3,0,0,3,2,0,16
DCST1,1,8,11,7,4,5,2,25
ADAM15,381,357,286,215,104,81,66,326
EFNA4,19,38,42,8,16,26,19,94
EFNA3,24,30,13,4,8,6,11,63
EFNA1,9,18,8,3,7,3,10,46
SLC50A1,341,461,350,254,361,177,285,835
DPM3,33,37,22,28,36,14,31,76
KRTCAP2,87,141,53,51,80,39,62,273
TRIM46,43,31,18,32,10,31,34,54
MUC1,71,132,122,55,96,116,90,310
THBS3,148,201,193,202,210,157,124,291
MTX1,269,274,255,152,158,214,144,643
GBA,119,299,268,236,164,157,111,395
FAM189B,37,27,32,34,15,17,15,26
SCAMP3,180,276,199,174,167,128,118,433
CLK2,1266,1340,1310,925,834,1046,837,2852
HCN3,37,13,10,20,45,33,64,95
PKLR,0,2,0,1,0,0,0,0
FDPS,443,609,507,413,1063,834,802,2557
RUSC1,53,70,69,22,32,46,21,190
ASH1L,1595,1873,2289,1698,2861,2705,1754,8102
MSTO1,112,150,195,102,78,139,61,321
YY1AP1,1364,1841,2037,1155,1394,1395,853,4124
DAP3,1695,2220,2013,1348,1570,1248,1000,4012
GON4L,1894,2323,2618,1443,1594,1639,934,5353
SYT11,125,118,186,103,178,133,41,328
RIT1,1254,1055,1380,904,892,1246,785,2703
RXFP4,22,24,19,9,10,10,29,68
ARHGEF2,2481,2964,2768,2024,3284,3373,2695,8098
SSR2,437,643,520,414,313,289,260,954
UBQLN4,270,376,354,236,454,374,354,1448
LAMTOR2,367,415,274,343,207,107,177,432
RAB25,0,10,5,11,0,0,0,0
MEX3A,0,7,0,18,0,50,8,20
LMNA,14141,15459,12495,13710,6578,4319,6037,19811
SEMA4A,872,934,930,781,515,541,360,1535
SLC25A44,409,499,556,269,222,312,182,1380
PMF1-BGLAP,252,442,300,301,347,214,251,787
PMF1,275,466,313,325,367,238,274,854
BGLAP,3,4,7,3,5,0,0,10
PAQR6,7,5,12,7,3,7,6,20
SMG5,875,1061,1021,897,769,913,675,2342
TMEM79,17,16,37,16,44,29,8,90
GLMP,18,10,20,11,22,13,5,53
CCT3,2598,3173,2990,2018,1918,1683,1301,5764
TSACC,6,3,4,0,0,4,3,11
RHBG,0,0,0,0,0,0,0,0
MEF2D,2274,3218,3063,2165,2125,1766,1507,6481
IQGAP3,68,74,56,40,20,16,10,135
TTC24,24,30,12,9,0,12,4,64
NAXE,132,107,75,41,37,52,40,196
GPATCH4,988,1447,1043,804,631,588,604,2974
HAPLN2,0,2,0,0,0,0,0,0
BCAN,1,0,0,0,3,0,0,7
NES,56,53,38,22,767,396,64,1300
CRABP2,26,46,25,10,10,0,6,35
ISG20L2,395,636,594,324,340,283,168,941
MRPL24,252,311,208,199,144,141,157,496
HDGF,4472,5473,4910,3616,4447,4180,3637,12157
PRCC,505,667,546,410,431,409,296,1345
SH2D2A,19,4,13,5,3,24,18,81
NTRK1,0,0,1,0,1,0,0,4
INSRR,0,0,0,0,18,0,0,10
PEAR1,4,2,3,0,9,5,1,13
LRRC71,0,0,0,0,0,0,4,8
ARHGEF11,337,276,403,252,168,203,112,508
ETV3L,7,6,3,0,2,9,21,63
ETV3,5680,5745,7121,6271,7383,12830,9479,22510
FCRL5,16,10,10,12,0,33,7,29
FCRL4,0,0,2,0,0,4,10,10
FCRL3,17,0,14,11,11,12,23,16
FCRL2,6,0,6,4,17,7,12,6
FCRL1,37,6,24,18,39,0,30,59
CD5L,0,16,7,44,65,118,30,82
CD1D,1243,1156,1452,781,194,187,175,583
CD1A,64,35,100,47,30,39,15,30
CD1C,5259,6410,7377,2940,1192,958,1006,2817
CD1B,74,50,115,37,600,434,210,335
CD1E,503,443,810,247,1041,871,536,1106
SPTA1,24,2,8,7,0,10,0,12
MNDA,4485,3355,7418,3954,3235,1901,1116,3992
PYHIN1,0,1,2,1,0,0,3,16
IFI16,2741,3917,5554,2727,1364,1026,497,3970
AIM2,37,29,44,33,23,43,25,133
CADM3,15,15,11,43,65,59,7,80
ACKR1,0,3,3,0,23,10,2,44
FCER1A,748,2126,1785,520,31,10,26,301
APCS,0,0,0,0,2,0,0,0
CRP,0,0,0,0,0,0,0,0
DUSP23,131,127,172,121,31,13,7,68
FCRL6,30,74,113,60,15,3,2,32
SLAMF8,585,628,786,262,92,36,45,423
VSIG8,0,0,3,1,5,0,0,7
CFAP45,95,148,122,117,121,73,98,361
