,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
EIF3G,5397,7569,5755,5226,4092,3046,2940,10692
DNMT1,2588,2974,4127,2379,1905,2101,962,6801
S1PR2,8,26,19,6,14,6,0,46
MRPL4,252,395,326,264,125,175,131,550
ICAM1,6437,4279,4251,6723,6526,7349,7046,9501
ICAM4,70,39,11,45,37,109,116,52
ICAM5,62,47,60,74,256,312,247,411
ZGLP1,0,10,6,4,0,3,2,10
FDX2,13,53,32,31,25,9,25,56
RAVER1,236,369,295,204,184,223,187,758
ICAM3,649,918,673,528,273,107,134,931
TYK2,1580,1866,1927,1631,2840,2659,2145,6627
CDC37,17641,27246,18308,20473,18769,17677,16905,41925
PDE4A,1400,1815,1829,857,1186,881,1058,3985
KEAP1,112,179,176,206,330,222,157,370
S1PR5,4,0,1,1,6,5,4,23
ATG4D,36,107,81,87,143,120,73,201
KRI1,2475,3598,2947,1896,1306,1252,1003,6067
CDKN2D,307,500,317,213,260,160,188,771
AP1M2,0,0,0,2,0,0,0,10
SLC44A2,136,272,144,128,199,203,115,907
ILF3,6339,9576,8451,6483,5382,5668,4429,18209
QTRT1,49,151,100,85,77,38,62,265
DNM2,3077,4309,3961,3239,2663,2413,1735,6961
TMED1,91,119,93,151,113,78,69,147
C19orf38,508,492,475,258,150,66,93,395
CARM1,334,484,410,342,266,257,212,714
YIPF2,144,260,160,160,117,103,96,319
SMARCA4,2918,3673,3547,2979,3835,3230,2537,9462
LDLR,566,138,325,462,374,827,504,728
SPC24,89,36,45,73,65,87,69,127
KANK2,14,6,14,15,29,38,9,81
DOCK6,8,7,6,12,36,18,5,41
ANGPTL8,0,0,3,4,0,0,2,0
TSPAN16,0,2,4,0,0,0,0,0
RAB3D,71,86,40,48,21,27,27,86
TMEM205,107,125,84,71,56,52,51,188
CCDC159,752,762,700,628,536,408,396,1141
PLPPR2,78,77,42,40,39,5,28,51
SWSAP1,0,12,11,13,0,4,4,6
